Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,76704221426.2271,81096175117.2242,92824010528.9346,93433637676.7528,104149617264.792,110871922979.608,121583698791.306,124466899308.875,133896043276.902,149867494589.505,163015313606.536,181597647661.518,203693530719.78,268843413957.113,352626576694.92,368009680646.938,409692119714.987,451158229471.179,510561192693.868,610782093337.925,740181622737.909,857201894715.697,795280130645.606,694238833604.045,697299138222.582,719314861868.753,721612935949.622,761121046318.599,860153018089.79,942513480793.186,1109291528864.82,1382185363041.39,1303039675884.05,1504809210747,1719850514545.37,1833688975747.45,1993066196162.04,2186256978875.67,2199622005342.07,1968277262699.81,2177510874333.03,2118889299200.43,1884432437951.77,1921340497700.76,2225083643774.64,2709220356221.26,3186232377375.87,3773438083336.12,4407486046724.94,4129286680444.94,5159091273821.61,5885324240937.12,5942622983733.29,6090301845617.56,6209426244963.11,5302256971775.61,5169862258291.88,5763511079852.59,5623101122795.78,5535010379191.35,4611107748612.96
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.6534268995682,56.1263855560985,56.582270983666,57.0221559155103,57.4489232832881,57.8681736958829,58.2856821635988,58.706165901267,59.1334420638918,59.568897780584,60.0122822844617,60.46095573133,60.9103091557742,61.3552119811269,61.7939757477317,62.2264408143466,62.650704089878,63.0697634503187,63.4838709295089,63.8930276399801,64.2973591232907,64.6959206514826,65.0901052212407,65.4764315196213,65.8587922802548,66.2376174436948,66.6140574531417,66.9893227299892,67.3610164543704,67.7322447518817,68.1004187287986,68.4655561027914,68.8263794295156,69.180489789884,69.5290175065458,69.8722034850589,70.2122668494403,70.5501526672192,70.883581650242,71.2128783421473,71.5343567822716,71.843556692425,72.1392107435642,72.4171632166203,72.6784084080014,72.923785484274,73.1540865222727,73.373281151652,73.5836260306776,73.7868998996756,73.9833457832769,74.17297211692,74.3552670519728,74.530246396291,74.700181700404,74.8665594523911,75.0305585888065,75.1942820911752,75.3573280274652,75.5203877691048,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,209749023,215629972,221676249,227866079,234169957,240564863,247044234,253607485,260246118,266952916,273723962,280552945,287442489,294409011,301475452,308657753,315955197,323363576,330890816,338545320,346328178,354241995,362272025,370377355,378506071,386619091,394697236,402742139,410761042,418769937,426777889,434776652,442751009,450695871,458608078,466483148,474321040,482112390,489832061,497441659,504921279,512247446,519420841,526462542,533415243,540306150,547139431,553909998,560624662,567289597,573800616,580428448,586999600,593506947,599935349,606271936,612511541,618653508,624698076,630644771,636492840
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282.445669106984,279.009077244295,270.994800167579,248.700073312376,240.325409233688,259.490760491562,274.182326647771,299.090762767822,301.943280835838,300.562165871034,307.675242213395,302.305311335258,272.950714643994,270.179137013233,242.806060206171,272.134659991776,291.644543649114,299.892743957415,299.513718749698,298.460742118208,326.843762507384,307.786905357374,330.18720475424,360.476309323953,402.323311933058,461.405295567084,526.972558491286,623.539138927469,747.220290999741,742.111223128183,826.499756134009,906.412702590985,932.57881167231,997.694291231565,1052.68781503211,1011.52534514032,986.924823563932,1053.96352219117,1065.29110556022,1094.89440023069,1068.79814047712
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110326821351.661,111751219166.335,111308573050.592,104772162204.878,103865110529.237,115081894448.901,124806061983.578,139762267891.886,144876621503.435,148117949350.792,155768475856.288,157278097691.02,145955209684.1,148479450657.118,137083717413.988,157751482877.224,173470545242.708,182929560806.915,187298546547.643,191327313211.246,214806902500.864,207418545966.298,228179642875.729,255429165442.663,292219962276.936,343373441763.363,401622913961.332,486497440722.777,596702794810.25,606544285507.975,691461962064.593,776316589903.155,817747803078.106,895723388795.454,967654804026.309,951978180250.786,950921527687.52,1039614232529.88,1075615110117.57,1131451684833.93,1130187942283.95
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,40.3074845274525,40.7699866101018,41.2332275406075,41.6955194663862,42.1517979532187,42.586741065285,42.9810835175587,43.3235937366378,43.6110610223027,43.8498843680482,44.0590102238186,44.2657302366197,44.4975234306888,44.775145481911,45.111530451632,45.5150327071362,45.9851144579876,46.5006247225693,47.0333599172323,47.5597677298008,48.0638168470528,48.5432087934767,49.0053372429428,49.4539078193171,49.8861587461338,50.2910729280166,50.6553651736889,50.9744053239392,51.2509211064303,51.496403279134,51.7327276410839,51.9859823761582,52.2729688900545,52.5967249731403,52.9496606615097,53.3246668693996,53.7194417002453,54.1322054762991,54.5620501757163,55.0104314757127,55.479786279606,55.9757330537279,56.5027479424945,57.0610828028179,57.6467811350886,58.2557048388402,58.8831050101083,59.5202780647398,60.156645250041,60.7830147073651,61.3889339064888,61.9674172416571,62.5153218973951,63.0304603394915,63.5090319061844,63.947777333414,64.3458296371694,64.7078616148967,65.0398012378038,65.3454212391279,..
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,240518397,246113624,251900655,257908038,264174076,270720935,277573103,284708606,292046003,299473694,306916898,314345051,321797948,329357734,337142875,345242741,353691447,362475157,371577357,380963357,390612544,400528973,410740623,421279177,432185306,443491299,455193679,467290486,479814027,492803041,506275626,520262436,534731004,549559275,564581120,579681702,594801271,609983284,625342129,641046832,657215854,673903088,691061433,708587940,726331171,744190509,762132501,780219573,798563425,817322615,836614841,856471437,876867234,897793439,919222955,941131317,963519718,986385402,1009691252,1033388868,1057438163
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,147.862740406697,139.989427175569,143.141600525717,150.625858035322,165.364203203926,178.315346330679,180.1962373832,180.752189819339,186.48810957174,203.908309953313,218.284587190394,229.671717394765,251.217387007946,310.758769930561,386.425146200186,418.960701361908,443.189903283295,488.298289786416,519.851413018697,605.418612831601,695.86943150853,769.111428869923,744.951375929379,705.989751697167,702.174117304446,725.817601284274,737.505579683723,744.581571502688,781.304869574036,794.963361608603,888.050514036901,885.36884438958,862.190768333232,904.317800616269,964.942241860386,1062.23190788823,1143.25829231058,1190.58501296883,1137.66166919187,1095.80887414425,1179.98551537576,1173.67577538041,1187.41989552571,1320.0561988943,1545.92302370957,1816.80545868042,2129.64913137461,2604.12944397425,3077.78256734399,2963.71355772747,3548.5005464306,4156.65961095126,4370.99022333696,4578.63798712574,4674.29206588667,4382.34028134324,4353.08440481396,4721.74877784668,4944.43271902466,5012.75487528986,4759.24426146187
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,334795344385.953,321087790322.644,334429290206.644,360183209698.238,404582836685.153,446458459563.088,462139983061.229,474575901700.272,501314580042.981,561409453885.81,615566041963.951,663340324758.224,742470317614.813,939338467229.744,1193871829990.67,1321858658510.64,1427128209345.6,1603904697333.8,1741690862737.55,2069052669068.09,2425596050127.87,2734871868620.05,2703774825700.35,2615126371281.23,2653522080653.97,2798239912352.83,2901190328628.32,2989084457728.91,3200135764526.26,3320438131586.22,3781972534098.36,3840621212996.8,3807007777857.84,4062482631532.5,4408411537185.32,4933114593005.73,5395551510338.84,5708499555874.98,5539519842486.23,5416094830005.56,5918005533167.28,5970741847656.37,6125443508073.8,6904111272750.56,8196269775282.66,9763317277415.51,11598162273466.9,14370224616892.3,17208551046916.4,16789235164442.9,20365705502197.8,24168276681186.3,25744973604266.9,27318637221993.9,28250608405525.9,26827273590878.7,26991045980166.5,29651326854372.8,31434957234643.8,32252234228551.2,30980178559592.6
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.1970743391928,47.7128204470964,48.3074063481147,49.0079171391672,49.8208208337034,50.7141715215564,51.6428730623007,52.5589483766968,53.4244199430499,54.2100440804109,54.9327267658386,55.5812183296873,56.1686770111634,56.7433603032903,57.3014140971392,57.8121535805014,58.3190638904665,58.7983618046165,59.2502244133955,59.6556633773899,60.0445625265288,60.4153108127872,60.7755153566299,61.0974645458699,61.3931372162461,61.71771696889,62.0647755338208,62.344912206953,62.6019390455686,62.8356682481149,63.0550044165125,63.2700445504703,63.4189227380333,63.5638622333168,63.7717717609484,64.0040143184706,64.2902714465111,64.5892294530042,64.8628913702887,65.1031441313422,65.3754761048534,65.6589807057638,65.9465242808597,66.2451834247734,66.5682183004914,66.8849492360697,67.2462615784439,67.606550527045,67.9575775913149,68.3304855198215,68.6806222951056,69.0414792010121,69.3775382911423,69.7055269830212,70.0029899892461,70.286533124493,70.5508693014677,70.8011654553198,71.0126873326864,71.212748780429,..
Low & middle income,LMY,"Population, total",SP.POP.TOTL,2264230620,2293657434,2336352877,2391244202,2446616794,2503757914,2564648351,2625561008,2688185221,2753244603,2820016062,2888210757,2955489373,3022725529,3089529348,3155089855,3220127983,3284682193,3350362852,3417557084,3485705709,3555885098,3629464839,3704198772,3779008675,3855293544,3933787633,4014448614,4095886112,4176844232,4258735820,4337877075,4415505150,4492317445,4568575554,4644103191,4719451017,4794701339,4869215508,4942554270,5015320490,5087215714,5158616199,5230164654,5301861509,5373892527,5446043718,5518245128,5591217271,5664931795,5739242600,5814350691,5889963667,5966542299,6043826104,6121677430,6200441680,6279734109,6357646877,6434033786,6509474374
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,123.14088061477,126.101636230009,141.253033051396,143.292817056044,155.381853345723,165.8437911698,192.885555457807,234.276316142356,269.473917671671,277.931169221904,315.169940344548,345.770200080804,365.395699562097,377.268681350471,379.545943167265,382.493128989735,360.926050147656,340.942883548336,347.650033014376,361.691653525518,380.286038426367,362.201830918706,346.660706741747,353.976876732522,345.162341107869,302.292934978665,298.872223299368,242.631570017993,265.861338589928,273.158055180189,283.631929649959,276.779025354682,270.947516535314,324.88149218718,295.01540865104,309.629313211962,332.591660845509,373.998511019281,425.378335553882,484.775799943969,575.356930042748,679.537502478533,680.734224293819,745.925572988408,773.31601906579,777.734873171495,828.55735853504,874.322991483414,851.355236409375,785.633874138298,790.858529040066,795.953159156766,820.896182299874,821.862930833469
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,19969697501.6746,20980554047.5842,24114226665.7383,25098352779.8939,27919313005.3369,30566145913.3447,36462201023.4721,45421497093.4826,53584686423.5735,56685594753.2057,65932158784.1131,74183040059.5444,80374913996.939,85053384648.3735,87666279698.9028,90495269158.2697,87472280164.8477,84670828306.7053,88519489242.7,94474492499.5674,101948836201.408,99722160381.7409,98095343533.5883,103031588278.665,103430095232.573,93320558430.8237,95071778752.2808,79500690075.7788,89665727018.1455,94748493788.2183,101117287957.413,101389835662.683,102004135020.651,125757751738.745,117473983984.689,126871458544.032,140262221828.581,162336144359.596,190014390063.105,222831875985.042,272113592903.546,330573385663.227,340438547715.673,383244115871.036,407898795852.662,420914537116.372,459946112800.653,497811019787.332,497263761960.593,470822744409.825,486350413377.582,502363633203.449,531834685224.177,546661335346.153
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.5026792515436,39.9411940074276,40.3738453605115,40.810096077033,41.2577158349635,41.7206953051093,42.1990021604836,42.6849451760232,43.171423599738,43.6533746441638,44.126765351005,44.5895575937094,45.0403917404967,45.4766770618193,45.896413728772,46.2970919189436,46.6770108013456,47.038824127241,47.3876799232534,47.7283921138118,48.0659658777938,48.4045659736619,48.7438457177438,49.0799428887932,49.4071889321359,49.7125793462484,49.980263363225,50.1988219766285,50.3666144670883,50.4964976827406,50.6120478948755,50.7411320019481,50.902992961385,51.0976652254339,51.3113089632943,51.5415786954834,51.8015395312189,52.1064981360939,52.4665780669992,52.8865125073707,53.3659712889167,53.902174940914,54.4866012837542,55.1105646249755,55.7663140226186,56.4431083563177,57.1322981712624,57.8218057221748,58.4954194607027,59.1378320698608,59.7397397114906,60.3002394036695,60.8265642978128,61.3246035798279,61.7945941642484,62.2353988306971,62.6458718838357,63.0281199479664,63.3874993839884,63.7277492102326,..
Low income,LIC,"Population, total",SP.POP.TOTL,137782356,140848427,143991035,147246689,150668279,154292515,158131724,162169520,166378127,170716523,175154298,179681941,184306845,189035415,193880021,198849250,203955515,209195581,214544342,219966776,225445124,230976727,236593189,242355131,248343146,254622410,261201749,268084615,275322077,282972202,291068697,299656373,308709029,318101755,327660123,337265010,346863261,356508832,366320517,376471932,387088076,398196096,409752737,421725011,434055590,446695034,459659653,472947450,486468200,500104939,513783318,527467149,541205688,555116804,569367413,584084928,599290280,614965124,631147232,647870823,665149035
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,89.8202280864743,92.8819186969167,92.6277735068415,100.715395015426,110.840768516551,117.058363531209,105.102601570001,109.701734532582,115.352341684826,125.326320766537,135.749973604218,139.710851041635,148.594117457016,178.623907045324,232.621737570951,252.314971065325,274.171537600954,308.04706915831,331.72676145313,372.253591300853,441.130183895918,517.817921284838,519.986301986584,501.508905788707,483.279458476134,502.552765591806,521.772024866284,498.93528994916,496.811277399524,485.387099213985,510.837046398679,470.342962624736,488.295541304336,482.17946848575,509.538163393683,566.972738016886,618.742803756001,620.86413573123,558.814058948746,592.928201528555,612.664632475676,615.678164891037,648.502717807359,732.600576730259,835.06211685785,955.257970308046,1115.995981041,1350.95693976764,1503.93152789349,1504.96219434164,1801.82585227696,2020.20796689915,2087.32287718837,2093.37861173651,2145.49573079409,2074.97795701822,2134.93610887136,2266.93530274556,2264.39293950186,2352.78369418807,2200.40175761132
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,88920589041.2411,94061080940.3571,95978572098.1187,106797935821.989,120295398617.646,130034605858.552,119507696970.372,127684325887.638,137437481277.592,152857217106.057,169495147166.918,178579662169.486,194447529755.619,239310449012.042,319101464571.543,354421111044.045,394387950901.126,453803086784.519,500534658715.91,575424267038.895,698743246286.66,840698555835.287,865373581000.02,855544719095.632,844967750882.773,900243952106.225,957311939255.549,937264670739.257,955159946360.995,954620628861.322,1028174706720.99,967250771137.632,1025475127591.74,1033528534512.41,1114089904039.08,1264055343240.57,1406184872667.24,1437862957877.98,1318304965646.23,1424291847506.24,1498024214095.18,1531746222986.39,1641152542728.41,1885356842821.41,2184904551979.59,2540565157695.38,3016383180644.26,3710276424796.77,4196278697520.99,4265473284529.03,5187232128411.47,5906401101271.7,6195683414243.4,6307742047940.43,6561460119567.91,6439837796354.41,6722961960319.86,7241764591199.76,7336705281131.43,7729875233288.06,7328773718411.43
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.218376105132,45.8013480770581,46.3763921937996,46.943199797186,47.5002549674935,48.0406034663986,48.5570010915739,49.0447173455132,49.5049615175995,49.942940698538,50.3719868816429,50.8106959848042,51.2722394618672,51.7633225386626,52.2835582337296,52.8269068710768,53.3811420829996,53.9275884381122,54.4511599596974,54.942902937396,55.3979770580529,55.8209818562691,56.2231393552399,56.6153561281696,57.0026503969171,57.3889162698761,57.7766938134623,58.1791504657027,58.5641871165156,58.9543357384338,59.3347042768833,59.6918126719612,60.0455286192962,60.3840460959892,60.7113201702701,61.0249221415022,61.3544380436724,61.6812519096394,62.0073584055734,62.3100783952088,62.6152896245729,62.938881556494,63.2778292258083,63.620684901315,63.9766936718309,64.3440899343236,64.731971025179,65.1322596805634,65.5370631776845,65.9570768220859,66.3721585239513,66.7663050341972,67.1362053518181,67.4867179415325,67.8115066145115,68.1100477337652,68.3865324929242,68.6411330020556,68.8696371531745,69.0884916733126,..
Lower middle income,LMC,"Population, total",SP.POP.TOTL,989984004,1012695283,1036174880,1060393357,1085299211,1110852757,1137057458,1163922580,1191458095,1219673698,1248583279,1278208964,1308581612,1339744791,1371761160,1404677295,1438471529,1473161514,1508876331,1545785670,1583984211,1623540865,1664223803,1705941229,1748404026,1791342151,1834732208,1878529520,1922581048,1966720233,2012725416,2056479735,2100111594,2143451976,2186469992,2229481699,2272648448,2315905969,2359112024,2402132069,2445096607,2487900839,2530679514,2573512638,2616457516,2659559236,2702862046,2746406133,2790205950,2834272715,2878875404,2923659939,2968243908,3013187396,3058248975,3103569257,3149022555,3194517542,3240031866,3285416867,3330652547
